Parameters,Type,Total Facility,April 13-14,April 14-15,Difference-April 14-15-April 13-14,Total Reported Facility,May 13-14,May 14-15,Difference-May 14-15-May 13-14,Total Reported Facility,June 13-14,June 14-15,Difference-June 14-15-June 13-14,Total Reported Facility,July 13-14,July 14-15,Difference-July 14-15-July 13-14,Total Reported Facility,August 13-14,August 14-15,Difference-August 14-15-August 13-14,Total Reported Facility,September 13-14,September 14-15,Difference-September 14-15-September 13-14,Total Reported Facility,October 13-14,October 14-15,Difference-October 14-15-October 13-14,Total Reported Facility,November 13-14,November 14-15,Difference-November 14-15-November 13-14,Total Reported Facility,December 13-14,December 14-15,Difference-December 14-15-December 13-14,Total Reported Facility,January 13-14,January 14-15,Difference-January 14-15-January 13-14,Total Reported Facility,February 13-14,February 14-15,Difference-February 14-15-February 13-14,Total Reported Facility,March 13-14,March 14-15,Difference-March 14-15-March 13-14,Total Reported Facility,Total 2013-2014,Total 2014-2015
Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,133,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA
Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,133,73,78,5,0,84,86,2,0,74,163,89,0,65,60,-5,0,277,50,-227,0,149,60,-89,0,45,43,-2,0,40,57,17,0,31,48,17,0,52,37,-15,0,35,45,10,0,63,50,-13,0,988,777
"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,133,344,405,61,0,340,377,37,0,224,348,124,0,196,232,36,0,440,161,-279,0,320,217,-103,0,179,178,-1,0,159,188,29,0,168,168,0,0,186,135,-51,0,200,161,-39,0,316,245,-71,0,3072,2815
Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,133,75,70,-5,0,73,75,2,0,27,45,18,0,34,44,10,0,44,44,0,0,31,35,4,0,63,27,-36,0,42,45,3,0,49,37,-12,0,40,40,0,0,51,40,-11,0,40,45,5,0,569,547
"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,133,360,241,-119,0,402,244,-158,0,171,149,-22,0,175,144,-31,0,136,146,10,0,185,145,-40,0,193,106,-87,0,163,161,-2,0,153,133,-20,0,153,118,-35,0,189,163,-26,0,192,164,-28,0,2472,1914
Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,133,48,21,-27,0,41,27,-14,0,29,17,-12,0,40,36,-4,0,25,19,-6,0,61,24,-37,0,43,47,4,0,27,29,2,0,37,39,2,0,51,54,3,0,24,23,-1,0,95,23,-72,0,521,359
Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,133,662,780,118,0,755,852,97,0,683,671,-12,0,709,777,68,0,527,721,194,0,605,879,274,0,790,968,178,0,822,903,81,0,742,845,103,0,579,820,241,0,495,455,-40,0,701,574,-127,0,8070,9245
"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,133,1277,1259,-18,0,1384,1322,-62,0,1254,1094,-160,0,1321,1227,-94,0,1054,1147,93,0,1203,1371,168,0,1440,1488,48,0,1419,1370,-49,0,1230,1263,33,0,998,1324,326,0,828,1108,280,0,1179,912,-267,0,14587,14885
Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,133,406,405,-1,0,575,573,-2,0,481,522,41,0,565,696,131,0,545,602,57,0,513,648,135,0,539,706,167,0,575,799,224,0,524,742,218,0,413,665,252,0,398,457,59,0,428,541,113,0,5962,7356
Number of IUCD Insertions conducted at PHCs,TOTAL,133,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA
